uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
5978,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,74,10,55,32,0.081081081081081,0.1,0.1022320947649209,0.7749367604022828,0.1266588863492888,0.0
17307,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,74,10,14,11,0.1486486486486486,0.3,0.349066576048059,0.7706731693200035,0.3563150224818181,0.0
17307,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,74,10,14,11,0.1486486486486486,0.3,0.349066576048059,0.7706731693200035,0.3563150224818181,0.0
17307,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,74,10,14,11,0.1486486486486486,0.3,0.349066576048059,0.7706731693200035,0.3563150224818181,0.0
45050,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,23,16,0.1466666666666666,0.15,0.1191798833563558,0.7731316278936378,0.0976582290688327,0.0
45050,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,23,16,0.1466666666666666,0.15,0.1191798833563558,0.7731316278936378,0.0976582290688327,0.0
45050,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,23,16,0.1466666666666666,0.15,0.1191798833563558,0.7731316278936378,0.0976582290688327,0.0
41335,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,47,28,0.1733333333333333,0.3,0.2914846084887771,0.7742443918955237,0.2889038971004915,0.0
41335,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,47,28,0.1733333333333333,0.3,0.2914846084887771,0.7742443918955237,0.2889038971004915,0.0
41335,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,47,28,0.1733333333333333,0.3,0.2914846084887771,0.7742443918955237,0.2889038971004915,0.0
58604,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,26,18,0.0533333333333333,0.2,0.3249905530743696,0.7803018250245182,0.4143873975182025,0.0
58604,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,26,18,0.0533333333333333,0.2,0.3249905530743696,0.7803018250245182,0.4143873975182025,0.0
58604,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,26,18,0.0533333333333333,0.2,0.3249905530743696,0.7803018250245182,0.4143873975182025,0.0
6323,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,35,22,0.1466666666666666,0.35,0.303255160161019,0.7685589027730101,0.2977267306137275,0.0
6323,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,35,22,0.1466666666666666,0.35,0.303255160161019,0.7685589027730101,0.2977267306137275,0.0
6323,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,35,22,0.1466666666666666,0.35,0.303255160161019,0.7685589027730101,0.2977267306137275,0.0
14918,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,52,30,0.1333333333333333,0.2,0.1757512882813588,0.7774166756603802,0.1482077234341166,0.0
14918,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,52,30,0.1333333333333333,0.2,0.1757512882813588,0.7774166756603802,0.1482077234341166,0.0
14918,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,140,75,10,52,30,0.1333333333333333,0.2,0.1757512882813588,0.7774166756603802,0.1482077234341166,0.0
24573,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,17,13,0.1866666666666666,0.5,0.4644106268074937,0.7758223221193403,0.4819131792699903,0.0
24573,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,17,13,0.1866666666666666,0.5,0.4644106268074937,0.7758223221193403,0.4819131792699903,0.0
24573,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,17,13,0.1866666666666666,0.5,0.4644106268074937,0.7758223221193403,0.4819131792699903,0.0
61875,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,98,54,0.0933333333333333,0.1,0.1224822577709204,0.7655173488023631,0.1350185618045524,0.0
61875,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,98,54,0.0933333333333333,0.1,0.1224822577709204,0.7655173488023631,0.1350185618045524,0.0
61875,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,141,75,10,98,54,0.0933333333333333,0.1,0.1224822577709204,0.7655173488023631,0.1350185618045524,0.0
29947,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,11,10,0.1466666666666666,0.35,0.2707420942812917,0.7725448835727897,0.2022762986927073,0.0
29947,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,11,10,0.1466666666666666,0.35,0.2707420942812917,0.7725448835727897,0.2022762986927073,0.0
29947,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,11,10,0.1466666666666666,0.35,0.2707420942812917,0.7725448835727897,0.2022762986927073,0.0
55899,22222,10,20,False,1,0.0,stratified,zero,4,0.75,0.99,nmf-item,0,0,10,142,75,10,88,49,0.08,0.05,0.0710200198168286,0.7801644379886152,0.104886982857184,0.0
