uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final
59327,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,482,0,10,138,73,10,24,17,0.2602739726027397,0.5,0.6107926092499015,0.8661112256394172,0.7109518285292278,0.0
59557,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,493,0,10,138,73,10,19,14,0.3561643835616438,0.65,0.7355942563826819,0.8498813706334344,0.8308494796826839,0.0
13656,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,522,0,10,138,73,10,12,11,0.3698630136986301,0.7,0.7345476895294737,0.8671586032731209,0.795883468311874,0.0
59557,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,496,0,10,138,73,10,19,14,0.3561643835616438,0.7,0.7773205619283476,0.8556284013957682,0.858902170455963,0.0
59327,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,482,0,10,138,73,10,24,17,0.2602739726027397,0.5,0.6107926092499015,0.8661112256394172,0.7109518285292278,0.0
57977,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,503,0,10,138,73,10,22,16,0.2054794520547945,0.55,0.5984230956609757,0.8549344281264866,0.6410710995231119,0.0
3541,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,494,0,10,138,74,10,20,14,0.3108108108108108,0.85,0.8980887266872835,0.8532872665344854,0.969340600275198,0.0
59327,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,482,0,10,138,73,10,24,17,0.2602739726027397,0.5,0.6107926092499015,0.8661112256394172,0.7109518285292278,0.0
57977,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,495,0,10,138,73,10,22,16,0.2465753424657534,0.55,0.584822341833841,0.8631277330641225,0.6121809618829743,0.0
59557,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,496,0,10,138,73,10,19,14,0.3561643835616438,0.7,0.7785185636167531,0.8556284013957682,0.864621124704329,0.0
3541,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,494,0,10,138,74,10,20,14,0.3108108108108108,0.85,0.8980887266872835,0.8532872665344854,0.969340600275198,0.0
13656,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,522,0,10,138,73,10,12,11,0.3698630136986301,0.8,0.8018234697690714,0.8712690744487427,0.812914557063164,0.0
3541,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,494,0,10,138,74,10,20,14,0.3108108108108108,0.85,0.8980887266872835,0.8532872665344854,0.969340600275198,0.0
13656,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,522,0,10,138,73,10,12,11,0.3698630136986301,0.8,0.8018234697690714,0.8712690744487427,0.812914557063164,0.0
57977,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,495,0,10,138,73,10,22,16,0.2465753424657534,0.55,0.584822341833841,0.8631277330641225,0.6121809618829743,0.0
60450,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,511,0,10,139,74,10,90,50,0.1081081081081081,0.25,0.2278577985475047,0.8709924694158936,0.2260229096239158,0.0
5978,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,516,0,10,140,74,10,55,32,0.2567567567567567,0.45,0.5028265852094329,0.8693453935682233,0.5334008634124733,0.0
11188,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,476,0,10,139,74,10,26,17,0.2837837837837837,0.6,0.5492485234575899,0.8701460219844517,0.5237915683387819,0.0
11188,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,476,0,10,139,74,10,26,17,0.2837837837837837,0.6,0.5492485234575899,0.8701460219844517,0.5237915683387819,0.0
17307,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,498,0,10,140,74,10,14,11,0.2432432432432432,0.6,0.6041267591710916,0.8582622424769625,0.5622901326829346,0.0
60450,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,510,0,10,139,74,10,90,50,0.081081081081081,0.2,0.1897364223171415,0.8582916836459679,0.1978509478567528,0.0
60450,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,510,0,10,139,74,10,90,50,0.1351351351351351,0.3,0.2601960896958245,0.8721527673399907,0.2285229096239158,0.0
29421,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,500,0,10,140,74,10,82,46,0.0675675675675675,0.05,0.0549485880719858,0.8713797606147523,0.0757203161905174,0.0
11188,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,482,0,10,139,74,10,26,17,0.2702702702702703,0.6,0.5510452639156201,0.8707593329377508,0.5312091507563644,0.0
29421,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,500,0,10,140,74,10,82,46,0.0675675675675675,0.05,0.0549485880719858,0.8713797606147523,0.0757203161905174,0.0
5978,22222,20,20,False,1,0.0,stratified,zero,1,0.75,0.99,gpt,516,0,10,140,74,10,55,32,0.2567567567567567,0.45,0.5028265852094329,0.8693453935682233,0.5334008634124733,0.0
