uid,random_state,k,final_k,allow_explanations,num_prompts,temperature,selection_style,prompt_style,embedding_level,title_threshold,min_sim_quantile,model,usage,unmatched_count,like_example_size,like_feedback_size,like_eval_size,dislike_example_size,dislike_feedback_size,dislike_eval_size,recall_final,precision_final,ndcg_final,ils_final,ap_final,dq_final,novelty,popular
60450,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1809,0,10,139,74,10,90,50,0.0675675675675675,0.4210526315789473,0.4662451703989534,0.7998662124670232,0.4554033552220777,0.9473684210526316,0.1569491525423728,0.0
29421,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1810,1,10,140,74,10,82,46,0.1216216216216216,0.45,0.3986647200371532,0.7123261418541912,0.3845249476615576,0.65,0.3040935672514619,0.0
5978,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1797,0,10,140,74,10,55,32,0.081081081081081,0.3684210526315789,0.4417176422961683,0.7823666265683641,0.4916668477630675,0.5789473684210527,0.4760919540229885,0.0
60450,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1811,0,10,139,74,10,90,50,0.0675675675675675,0.4210526315789473,0.4662451703989534,0.7998662124670232,0.4554033552220777,0.9473684210526316,0.1569491525423728,0.0
60450,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1809,0,10,139,74,10,90,50,0.0675675675675675,0.4210526315789473,0.4662451703989534,0.7998662124670232,0.4554033552220777,0.9473684210526316,0.1569491525423728,0.0
17307,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1796,6,10,140,74,10,14,11,0.081081081081081,0.45,0.4639364447335589,0.5192889510870293,0.4379340385706484,0.95,0.2933333333333332,0.0
29421,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1810,1,10,140,74,10,82,46,0.1216216216216216,0.45,0.3986647200371532,0.7123261418541912,0.3845249476615576,0.65,0.3040935672514619,0.0
17307,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1796,6,10,140,74,10,14,11,0.081081081081081,0.45,0.4639364447335589,0.5192889510870293,0.4379340385706484,0.95,0.2933333333333332,0.0
58604,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1857,7,10,140,75,10,26,18,0.1333333333333333,0.4,0.4494216056926733,0.7003937538021122,0.4848306835922934,0.8,0.4097777777777777,0.0
6323,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1738,2,10,140,75,10,35,22,0.1466666666666666,0.3,0.3205139433490306,0.7062191106866759,0.3910462838674912,1.0,0.3208187134502924,0.0
58604,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1645,3,10,140,75,10,26,18,0.1733333333333333,0.5263157894736842,0.4826945121199309,0.780626088543578,0.4596943749766791,0.6842105263157895,0.3312222222222222,0.0
14918,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1810,1,10,140,75,10,52,30,0.2533333333333333,0.5263157894736842,0.4854675208210029,0.786495847307788,0.4697765657477243,0.5263157894736842,0.267457627118644,0.0
6323,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1709,0,10,140,75,10,35,22,0.28,0.4210526315789473,0.3704233623914971,0.7858640701075308,0.3891257430853324,0.5263157894736842,0.4045614035087718,0.0
14918,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1810,2,10,140,75,10,52,30,0.1866666666666666,0.45,0.4503605499271025,0.7091199370548805,0.4877270671794664,0.8,0.163276836158192,0.0
45050,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1798,3,10,140,75,10,23,16,0.1333333333333333,0.5263157894736842,0.5826776838718717,0.6407847960919553,0.602660859816229,0.8947368421052632,0.226551724137931,0.0
45050,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1798,3,10,140,75,10,23,16,0.1333333333333333,0.5263157894736842,0.5826776838718717,0.6407847960919553,0.602660859816229,0.8947368421052632,0.226551724137931,0.0
41335,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1836,10,10,140,75,10,47,28,0.12,0.2,0.2461949291576641,0.4367077283578761,0.3340717409525459,0.95,0.1878888888888889,0.0
14918,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1807,1,10,140,75,10,52,30,0.2533333333333333,0.5263157894736842,0.4854675208210029,0.786495847307788,0.4697765657477243,0.5263157894736842,0.267457627118644,0.0
58604,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1848,5,10,140,75,10,26,18,0.0933333333333333,0.3,0.2970886205204102,0.6339597617131355,0.3193879218047174,1.0,0.2984444444444445,0.0
41335,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1845,14,10,140,75,10,47,28,0.1066666666666666,0.2,0.2193226033784631,0.2736401059296213,0.2903217409525459,0.6,0.3048888888888889,0.0
45050,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1682,4,10,140,75,10,23,16,0.1733333333333333,0.3684210526315789,0.4814876373106672,0.5549218688894013,0.5699060062653839,0.6842105263157895,0.2460919540229885,0.0
41335,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1845,14,10,140,75,10,47,28,0.1066666666666666,0.2,0.2193226033784631,0.2736401059296213,0.2903217409525459,0.6,0.3048888888888889,0.0
6323,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1771,7,10,140,75,10,35,22,0.0933333333333333,0.2105263157894736,0.2682326251739169,0.4937897656858579,0.2706652564298809,1.0,0.3435087719298246,0.0
24573,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1745,0,10,141,75,10,17,13,0.0933333333333333,0.5263157894736842,0.4398252726627356,0.7955879236423999,0.3809098768810354,0.4736842105263157,0.4028248587570621,0.0
61875,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1730,2,10,141,75,10,98,54,0.0933333333333333,0.0526315789473684,0.0463061038705829,0.7072814341560446,0.0502569744361336,1.0,0.3272413793103449,0.0
69820,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1735,1,10,142,76,10,18,14,0.1973684210526315,0.45,0.531441952201618,0.7965233230870942,0.588813272640672,0.85,0.1302298850574712,0.0
69820,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1735,1,10,142,76,10,18,14,0.1973684210526315,0.45,0.531441952201618,0.7965233230870942,0.588813272640672,0.85,0.1302298850574712,0.0
61875,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1726,0,10,141,75,10,98,54,0.0666666666666666,0.05,0.0448086436016717,0.7871659220708391,0.0502441257143269,1.0,0.2826436781609195,0.0
61875,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1703,0,10,141,75,10,98,54,0.1466666666666666,0.2222222222222222,0.1597701292239654,0.7850221631749761,0.0805366610513669,0.5,0.442758620689655,0.0
24573,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1743,0,10,141,75,10,17,13,0.2133333333333333,0.5789473684210527,0.5186010875358464,0.7918591416061069,0.4794124653522568,0.7894736842105263,0.2977401129943502,0.0
29947,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1758,0,10,142,75,10,11,10,0.1066666666666666,0.6,0.5579726019868652,0.792106232473707,0.5551797920431821,0.85,0.1558888888888888,0.0
55899,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1809,12,10,142,75,10,88,49,0.04,0.2,0.2302823485349365,0.8053055066763698,0.2620004146610184,0.15,0.6751190476190473,0.0
29947,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1752,0,10,142,75,10,11,10,0.12,0.75,0.682779519851098,0.807411917056662,0.6759235619471687,1.0,0.1052222222222222,0.0
24573,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1755,0,10,141,75,10,17,13,0.1466666666666666,0.4210526315789473,0.4063390656788945,0.7833033236887095,0.4271315238542711,0.9473684210526316,0.2570621468926553,0.0
69820,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1772,1,10,142,76,10,18,14,0.3289473684210526,0.6666666666666666,0.6514272484026843,0.7755429575013861,0.6194901957156858,0.5555555555555556,0.2197701149425286,0.0
29947,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1758,0,10,142,75,10,11,10,0.1066666666666666,0.6,0.5579726019868652,0.792106232473707,0.5551797920431821,0.85,0.1558888888888888,0.0
55899,22222,10,20,False,5,0.0,stratified,zero,4,0.75,0.99,gpt,1786,10,10,142,75,10,88,49,0.1066666666666666,0.1052631578947368,0.1158243611155401,0.5482865745170832,0.1456058452799531,1.0,0.3733333333333334,0.0
